soundname	intervalname	F1	F2	F3	speaker
Y22Fv3	whod	355.6394062508	1455.5480400565	2346.9924235745	y22
Y22Fv3	hod	534.0804650627	1224.8141126276	2609.043308128	y22
Y22Fv3	heed	373.3795084121	2773.7280196798	3750.4199955293	y22
Y22Fv3	had	683.8015700183	1240.8141844033	2284.7739240388	y22
Y22Fv3	hoard	530.2184885027	818.4708280038	2692.8251289509	y22
Y22Fv3	head	391.5301799221	2702.1476494878	2995.4156531015	y22
Y22Fv3	hud	987.6794109274	1574.5082064722	2756.5744019196	y22
Y22Fv4	whod	282.7879853441	1698.8803753562	2474.2964345399	y22
Y22Fv4	hud	477.1493291013	1795.8718539078	3023.3211705161	y22
Y22Fv4	hod	386.6894486042	1513.0682157048	2594.7847110025	y22
Y22Fv4	head	457.8297495758	1413.1922293064	2665.8418994459	y22
Y22Fv4	whod	341.687506796	1798.0751138288	2172.5334528619	y22
Y22Fv4	hoard	511.4236392224	1176.9968779068	2495.5072567793	y22
Y22Fv4	hid	449.9560803085	2026.0999517016	3108.8022990648	y22
Y22Fv4	had	616.7095722032	1882.4855242494	2705.6255207843	y22
Y22Fv4	hard	932.3746970443	1406.6026217421	2756.5563053548	y22
Y22Fv4	heed	345.2454292763	1523.1004787773	2743.8285239553	y22
Y22Fv4	herd	514.052875192	1754.1929746344	2435.2848978287	y22
Y22Fv4	hod	660.4978922013	1117.6142762808	2517.9481995365	y22
Y22Fv4	hood	463.1112700167	1406.9260132872	2532.2711481533	y22
Y22Fv5	heed	350.8518820168	2656.0787664021	3243.3344314312	y22
Y22Fv5	hid	518.654399974	2039.4626432297	2991.4494027986	y22
Y22Fv5	herd	493.1883365038	1979.2086880929	2862.4036495747	y22
Y22Fv5	whod	364.472048032	1597.28283302	2513.0209431381	y22
Y22Fv5	hoard	500.4581436601	767.2817513093	2365.8190614711	y22
Y22Fv5	hod	340.7910494609	1416.7183997234	2794.3214374154	y22
Y22Fv5	hard	972.8858988901	1314.1676889918	2516.2542352127	y22
Y22Fv5	had	625.8878218961	2236.9381776098	2928.270550066	y22
Y22Fv5	head	489.8573588642	2590.6466216972	3106.067338233	y22
Y22Fv5	heed	343.7683617124	2851.302253709	3152.8702716527	y22
Y22Fv5	hud	619.8164752988	1761.9816986642	2882.425390054	y22
Y22Fv5	hood	361.9718523289	1709.5682145305	2271.0852019902	y22
Y22Fv5	herd	481.0819775118	1873.4183249394	2731.6967226275	y22
Y23Fv1	hid	258.431149498	1733.8222345545	2801.2047796049	y23
Y23Fv1	heed	308.4456891498	2415.1042743643	3148.2526823852	y23
Y23Fv1	head	336.9383118344	2357.4224373968	3007.0806751333	y23
Y23Fv1	had	601.2803675953	1973.3151114426	2755.5458858586	y23
Y23Fv1	hard	796.9780199703	1391.6093295179	2671.8421177728	y23
Y23Fv1	hod	697.3042682559	1028.6678881146	2661.8885008185	y23
Y23Fv1	hoard	562.8292681998	946.4364326676	2743.1547538851	y23
Y23Fv1	whod	296.8480588955	1564.4674103012	2405.606633779	y23
Y23Fv1	herd	646.5432586231	1684.9273894137	2558.3375644789	y23
Y23Fv1	hid	439.4314406703	1931.9068851402	2770.119379171	y23
Y23Fv1	hud	771.5695865623	1501.8416057009	2693.9279415181	y23
Y23Fv1	hard	866.5280255132	1408.5773701674	2762.0202302037	y23
Y23Fv1	hood	230.9930002921	1659.1148438327	2788.6459439417	y23
Y23Fv2	hard	320.3853342047	1333.8647677799	2524.5660921016	y23
Y23Fv2	hood	418.0588128922	1351.5490811989	2485.2949305584	y23
Y23Fv2	hod	495.585678509	1208.0603890153	2597.2255389382	y23
Y23Fv2	hoard	466.4244696965	741.7248561818	2947.2899093043	y23
Y23Fv2	head	334.4994192822	2472.5818680636	3286.1426391553	y23
Y23Fv2	whod	361.4692792009	1595.846299949	2517.9231039149	y23
Y23Fv2	had	540.2450611551	1961.7127421408	2774.8732096283	y23
Y23Fv2	herd	568.7558089549	1687.6396362188	2543.1865142248	y23
Y23Fv2	hard	895.1387276283	1404.2441910082	2797.0406948576	y23
Y23Fv2	hid	473.3991943337	2009.4213847375	2748.861026266	y23
Y23Fv2	hod	194.0078708874	1569.7073846764	2845.1845004424	y23
Y23Fv2	hud	684.6803019454	1516.1113127565	2596.537367814	y23
Y23Fv3	hod	783.4008582503	970.7075280532	2668.5609741729	y23
Y23Fv3	hood	520.5510844601	1425.4465048921	2522.5118890032	y23
Y23Fv3	head	399.3099594473	2181.9418912182	2867.4128340504	y23
Y23Fv3	herd	595.3862822509	1699.1820787409	2516.7859281998	y23
Y23Fv3	hard	838.9422737506	1365.3108017183	2722.2029153782	y23
Y23Fv3	hid	395.0085482333	1907.8605784775	2752.7389875305	y23
Y23Fv3	whod	1520.190210083	2644.3692133669	3753.1480653847	y23
Y23Fv3	hod	787.2744189806	910.353583108	2831.9546587182	y23
Y23Fv3	heed	263.668661293	2371.4768577911	3134.0539103022	y23
Y23Fv3	had	621.2206170444	1930.7612334001	2696.3822322293	y23
Y23Fv3	hoard	520.7083409315	2667.8650154314	3647.4247376086	y23
Y23Fv3	head	380.1157353372	2278.1292336247	2927.7556991041	y23
Y23Fv3	hud	585.0436379703	1486.7278300416	2610.3616089555	y23
Y23Fv4	whod	386.5989038077	1697.5878231272	2842.4029809189	y23
